STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,FRSHTT
51573099999,2005-1-1,42.95,89.2297222,39.3,"TURPAN, CH",12.7,8,5.9,8,1032.7,8,28.5,4,12.6,8,2.4,8,3.9,999.9,15.8, ,6.4, ,0,D,999.9,000000
51573099999,2005-1-2,42.95,89.2297222,39.3,"TURPAN, CH",16.5,8,8.6,8,1035.6,8,30.6,4,11.3,8,1.7,8,3.9,999.9,20.7, ,11.7,*,0,D,999.9,000000
51573099999,2005-1-3,42.95,89.2297222,39.3,"TURPAN, CH",16.5,8,7.7,8,1033.7,8,29.5,4,10,8,2.2,8,3.9,999.9,22.5, ,9.9, ,0,D,999.9,000000
51573099999,2005-1-4,42.95,89.2297222,39.3,"TURPAN, CH",16.6,8,7.9,8,1030.7,8,26.1,4,9.5,8,1.5,8,1.9,999.9,24.3, ,11.7, ,0,D,999.9,000000
51573099999,2005-1-5,42.95,89.2297222,39.3,"TURPAN, CH",16.7,8,8.4,8,1033.4,8,28.2,4,8.6,8,1.9,8,3.9,999.9,23.4, ,10.9, ,0,D,999.9,000000
51573099999,2005-1-6,42.95,89.2297222,39.3,"TURPAN, CH",16.8,8,8.2,8,1038.9,8,34.1,4,9.9,8,1.7,8,1.9,999.9,24.4, ,11.5, ,0,D,999.9,000000
51573099999,2005-1-7,42.95,89.2297222,39.3,"TURPAN, CH",17.5,8,8.1,8,1037.7,8,33.2,4,10.5,8,1.9,8,1.9,999.9,26.6, ,10.8, ,0,D,999.9,000000
51573099999,2005-1-8,42.95,89.2297222,39.3,"TURPAN, CH",17.2,8,8.6,8,1035.7,8,30.8,4,8.6,8,1.7,8,1.9,999.9,25.5, ,11.7, ,0,D,999.9,000000
51573099999,2005-1-9,42.95,89.2297222,39.3,"TURPAN, CH",16.6,8,9.2,8,1036,8,31.4,4,7.9,8,1.5,8,1.9,999.9,24.1, ,11.1, ,0,D,999.9,000000
51573099999,2005-1-10,42.95,89.2297222,39.3,"TURPAN, CH",18.2,8,9.2,8,1035.9,8,31.4,5,8.9,8,1.5,8,1.9,999.9,24.8, ,10.6, ,0,D,999.9,000000
51573099999,2005-1-11,42.95,89.2297222,39.3,"TURPAN, CH",20.4,8,10.8,8,1038.9,8,34.3,8,8.9,8,1,8,1.9,999.9,27.7, ,14.4, ,0,D,999.9,000000
51573099999,2005-1-12,42.95,89.2297222,39.3,"TURPAN, CH",19.4,8,10.3,8,1035.9,8,31.3,8,8.5,8,1.9,8,3.9,999.9,28, ,12.6, ,0,D,999.9,000000
51573099999,2005-1-13,42.95,89.2297222,39.3,"TURPAN, CH",20.1,8,10.6,8,1034.2,8,29.6,8,8.2,8,1.5,8,1.9,999.9,29.8, ,12.2, ,0,D,999.9,000000
51573099999,2005-1-14,42.95,89.2297222,39.3,"TURPAN, CH",21.6,8,11,8,1030.9,8,26.3,8,9.1,8,1.5,8,1.9,999.9,29.3, ,13.3, ,0,D,999.9,000000
51573099999,2005-1-15,42.95,89.2297222,39.3,"TURPAN, CH",23,8,11.8,8,1031.3,8,26.7,8,8.9,8,1.7,8,1.9,999.9,32, ,15.6,*,0,D,999.9,000000
51573099999,2005-1-16,42.95,89.2297222,39.3,"TURPAN, CH",21.2,8,11,8,1032.9,8,28.3,8,8.1,8,1.2,8,1.9,999.9,30.7, ,14.4, ,0,D,999.9,000000
51573099999,2005-1-17,42.95,89.2297222,39.3,"TURPAN, CH",19.7,7,10.3,7,1033.1,7,28.5,7,8.9,7,1.4,7,1.9,999.9,30.2, ,14,*,0,D,999.9,000000
51573099999,2005-1-18,42.95,89.2297222,39.3,"TURPAN, CH",21.9,8,10.7,8,1030.6,8,26,8,9.2,8,1.5,8,1.9,999.9,30.2, ,13.1, ,0,D,999.9,000000
51573099999,2005-1-19,42.95,89.2297222,39.3,"TURPAN, CH",24.1,8,11.5,8,1032.5,8,27.9,8,8.6,8,2.9,8,3.9,999.9,31.6, ,18.1, ,0,D,999.9,000000
51573099999,2005-1-20,42.95,89.2297222,39.3,"TURPAN, CH",24.5,7,12.2,7,1030.2,7,25.6,7,10.7,7,2.2,7,3.9,999.9,32.9, ,15.4, ,0,D,999.9,000000
51573099999,2005-1-21,42.95,89.2297222,39.3,"TURPAN, CH",24.4,8,14.3,8,1023.2,8,18.7,8,11.7,8,2.4,8,3.9,999.9,30, ,20.1,*,0,D,999.9,000000
51573099999,2005-1-22,42.95,89.2297222,39.3,"TURPAN, CH",23.4,7,13.5,7,1029.1,7,24.5,7,10.2,7,1.7,7,1.9,999.9,33.3, ,18.1, ,0,D,999.9,000000
51573099999,2005-1-23,42.95,89.2297222,39.3,"TURPAN, CH",23,8,11.5,8,1026.6,8,22,8,11.8,8,2.2,8,3.9,999.9,31.6, ,15.1, ,0,D,999.9,000000
51573099999,2005-1-24,42.95,89.2297222,39.3,"TURPAN, CH",22.2,8,9.5,8,1020.8,8,16.3,8,12.4,8,1.9,8,3.9,999.9,31.8, ,15.6, ,0,D,999.9,000000
51573099999,2005-1-25,42.95,89.2297222,39.3,"TURPAN, CH",23.5,8,9.1,8,1020.1,8,15.6,8,11.7,8,1.9,8,3.9,999.9,30.4, ,15.4, ,0,D,999.9,000000
51573099999,2005-1-26,42.95,89.2297222,39.3,"TURPAN, CH",22.3,8,2.3,8,1021.7,8,17.1,8,12.4,8,3.2,8,5.8,999.9,30.2, ,18, ,0,D,999.9,000000
51573099999,2005-1-27,42.95,89.2297222,39.3,"TURPAN, CH",21,8,-5.1,8,1026.5,8,21.9,8,12.6,8,2.9,8,5.8,999.9,28.9, ,14.7, ,0,D,999.9,000000
51573099999,2005-1-28,42.95,89.2297222,39.3,"TURPAN, CH",19.9,8,-9.1,8,1032.8,8,28.2,8,13.6,8,2.4,8,3.9,999.9,25.9, ,12.7, ,0,D,999.9,000000
51573099999,2005-1-29,42.95,89.2297222,39.3,"TURPAN, CH",22.6,8,-7.4,8,1035,8,30.4,8,12,8,2.2,8,3.9,999.9,29.7, ,15.6, ,0,D,999.9,000000
51573099999,2005-1-30,42.95,89.2297222,39.3,"TURPAN, CH",23.7,8,-6.9,8,1035.6,8,31,8,12.7,8,2.2,8,5.8,999.9,31.6, ,14.9, ,0,D,999.9,000000
51573099999,2005-1-31,42.95,89.2297222,39.3,"TURPAN, CH",20.7,8,-6.5,8,1033.8,8,29.2,8,12.4,8,2.9,8,3.9,999.9,29.5, ,14.2, ,0,D,999.9,000000
51573099999,2005-2-1,42.95,89.2297222,39.3,"TURPAN, CH",18.6,8,-4.2,8,1028.1,8,23.5,8,11.3,8,1.5,8,1.9,999.9,26.6, ,12.6, ,0,D,999.9,000000
51573099999,2005-2-2,42.95,89.2297222,39.3,"TURPAN, CH",21.8,8,-5,8,1024.7,8,20.1,8,12.4,8,2.7,8,5.8,999.9,28.8, ,13.5, ,0,D,999.9,000000
51573099999,2005-2-3,42.95,89.2297222,39.3,"TURPAN, CH",20.4,8,-2.5,8,1024.5,8,19.9,8,12.4,8,2.4,8,3.9,999.9,28, ,15.4,*,0,D,999.9,000000
51573099999,2005-2-4,42.95,89.2297222,39.3,"TURPAN, CH",21.8,8,-2.5,8,1024.4,8,19.9,8,12,8,2.7,8,3.9,999.9,27.9, ,13.8, ,0,D,999.9,000000
51573099999,2005-2-5,42.95,89.2297222,39.3,"TURPAN, CH",24,8,-1.5,8,1030,8,25.4,8,12.8,8,2.9,8,5.8,999.9,33.8, ,15.6, ,0,D,999.9,000000
51573099999,2005-2-6,42.95,89.2297222,39.3,"TURPAN, CH",21,8,-5.4,8,1032,8,27.4,8,12.4,8,2.2,8,3.9,999.9,29.7, ,13.6, ,0,D,999.9,000000
51573099999,2005-2-7,42.95,89.2297222,39.3,"TURPAN, CH",21.4,8,-4.5,8,1030.2,8,25.6,8,12.4,8,1.7,8,3.9,999.9,29.1, ,12.2, ,0,D,999.9,000000
51573099999,2005-2-8,42.95,89.2297222,39.3,"TURPAN, CH",25,8,-4.1,8,1035.2,8,30.6,8,12.4,8,1.9,8,3.9,999.9,34.9, ,13.8, ,0,D,999.9,000000
51573099999,2005-2-9,42.95,89.2297222,39.3,"TURPAN, CH",26.6,8,-2.4,8,1034.8,8,30.3,8,12.6,8,1.9,8,3.9,999.9,36.3, ,18.7,*,0,D,999.9,000000
51573099999,2005-2-10,42.95,89.2297222,39.3,"TURPAN, CH",27.7,8,-2.7,8,1034.1,8,29.5,8,12.4,8,1.7,8,1.9,999.9,36.9, ,16.2, ,0,D,999.9,000000
51573099999,2005-2-11,42.95,89.2297222,39.3,"TURPAN, CH",30.8,8,-1.3,8,1026.8,8,22.3,8,12.4,8,2.7,8,5.8,999.9,38.7, ,23.9, ,0,D,999.9,000000
51573099999,2005-2-12,42.95,89.2297222,39.3,"TURPAN, CH",32.6,8,2.7,8,1020.8,8,16.3,8,12.4,8,1.9,8,3.9,999.9,40.1, ,27, ,0,D,999.9,000000
51573099999,2005-2-13,42.95,89.2297222,39.3,"TURPAN, CH",34.6,8,5.4,8,1022.3,8,17.8,8,12,8,1.5,8,1.9,999.9,38.8, ,26.6, ,0,D,999.9,000000
51573099999,2005-2-14,42.95,89.2297222,39.3,"TURPAN, CH",38.9,8,12.6,8,1025.8,8,21.4,8,12.4,8,2.7,8,3.9,999.9,46.4, ,31.8,*,0,D,999.9,000000
51573099999,2005-2-15,42.95,89.2297222,39.3,"TURPAN, CH",33.6,8,17.1,8,1028.4,8,23.9,8,11.3,8,3.2,8,5.8,999.9,38.3, ,29.7, ,0,D,999.9,000000
51573099999,2005-2-16,42.95,89.2297222,39.3,"TURPAN, CH",29.4,8,3.9,8,1037.3,8,32.8,8,12,8,4.9,8,7.8,999.9,36.9, ,22.6,*,0,G,999.9,001000
51573099999,2005-2-17,42.95,89.2297222,39.3,"TURPAN, CH",23.8,8,-6.9,8,1044.1,8,39.4,8,12.4,8,3.2,8,5.8,999.9,30.9, ,18.5,*,0,G,999.9,000000
51573099999,2005-2-18,42.95,89.2297222,39.3,"TURPAN, CH",23.6,8,-6.2,8,1043.5,8,38.9,8,12.7,8,2.7,8,3.9,999.9,33.1, ,15.4, ,0,D,999.9,000000
51573099999,2005-2-19,42.95,89.2297222,39.3,"TURPAN, CH",24.9,8,-5.4,8,1037.6,8,33,8,14,8,2.4,8,3.9,999.9,34.5, ,14.5, ,0,D,999.9,000000
51573099999,2005-2-20,42.95,89.2297222,39.3,"TURPAN, CH",26.4,8,-4.1,8,1030.3,8,25.8,8,13.1,8,2.2,8,3.9,999.9,37, ,15.3, ,0,D,999.9,000000
51573099999,2005-2-21,42.95,89.2297222,39.3,"TURPAN, CH",28.3,8,-3.1,8,1023.3,8,18.8,8,13,8,1.5,8,3.9,999.9,37.8, ,17.8, ,0,D,999.9,000000
51573099999,2005-2-22,42.95,89.2297222,39.3,"TURPAN, CH",29.6,8,-1.4,8,1016.8,8,12.3,8,12.4,8,2.4,8,3.9,999.9,38.1, ,19.8, ,0,D,999.9,000000
51573099999,2005-2-23,42.95,89.2297222,39.3,"TURPAN, CH",34.4,8,2,8,1015.2,8,10.8,8,12,8,1.5,8,1.9,999.9,44.4, ,21.9, ,0,D,999.9,000000
51573099999,2005-2-24,42.95,89.2297222,39.3,"TURPAN, CH",40.9,8,6.1,8,1020.4,8,16,8,11.9,8,2.2,8,3.9,999.9,50.2, ,30.7, ,0,D,999.9,000000
51573099999,2005-2-25,42.95,89.2297222,39.3,"TURPAN, CH",45.6,8,19.5,8,1025.7,8,21.3,8,12.5,8,2.2,8,5.8,999.9,52.2, ,39, ,0,G,999.9,010000
51573099999,2005-2-26,42.95,89.2297222,39.3,"TURPAN, CH",45.7,8,29.1,8,1028.7,8,24.3,8,16.9,8,2.7,8,5.8,999.9,53.8, ,40.6, ,0,G,999.9,000000
51573099999,2005-2-27,42.95,89.2297222,39.3,"TURPAN, CH",45.5,8,26.6,8,1023.8,8,19.4,8,15.5,8,2.4,8,5.8,999.9,55.2, ,38.5,*,0,D,999.9,000000
51573099999,2005-2-28,42.95,89.2297222,39.3,"TURPAN, CH",45.4,8,24.6,8,1026,8,21.6,8,15.1,8,1.9,8,3.9,999.9,53.6, ,33.3, ,0,D,999.9,000000
51573099999,2005-3-1,42.95,89.2297222,39.3,"TURPAN, CH",49.5,8,23.5,8,1033.4,8,29.1,8,16.3,8,4.1,8,5.8,999.9,56.3, ,38.8, ,0,D,999.9,000000
51573099999,2005-3-2,42.95,89.2297222,39.3,"TURPAN, CH",47.9,8,22.2,8,1042.6,8,38.2,8,18.6,8,3.4,8,5.8,999.9,57.9, ,36.9,*,0,D,999.9,000000
51573099999,2005-3-3,42.95,89.2297222,39.3,"TURPAN, CH",48.8,7,12.8,7,1039.3,7,34.9,7,18.6,7,2.8,7,3.9,999.9,59.9,*,35.6, ,0,C,999.9,000000
51573099999,2005-3-4,42.95,89.2297222,39.3,"TURPAN, CH",46.7,8,7.8,8,1032.2,8,27.8,8,18.6,8,2.4,8,3.9,999.9,59.2, ,36.1,*,0,D,999.9,000000
51573099999,2005-3-5,42.95,89.2297222,39.3,"TURPAN, CH",47.4,8,10.9,8,1026.9,8,22.6,8,15.2,8,1.9,8,1.9,999.9,60.1, ,34.7, ,0,D,999.9,000000
51573099999,2005-3-6,42.95,89.2297222,39.3,"TURPAN, CH",48.7,8,14.4,8,1025.3,8,21,8,15.4,8,2.2,8,3.9,999.9,62.2, ,35.1, ,0,D,999.9,000000
51573099999,2005-3-7,42.95,89.2297222,39.3,"TURPAN, CH",49.7,8,15.5,8,1019.3,8,15,8,14.4,8,2.2,8,3.9,999.9,63.3, ,36.9, ,0,D,999.9,000000
